gender,age,under_30,senior_citizen,partner,dependents,number_of_dependents,married,total_population,phone_service_x,internet_service_x,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type,contract,paperless_billing,payment_method,monthly_ charges,avg_monthly_long_distance_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,tenure,multiple_lines,avg_monthly_gb_download,unlimited_data,offer,referred_a_friend,number_of_referrals,satisfaction_score,cltv,churn_value
Male,73,No,Yes,No,No,0,No,47224,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Fiber Optic,Month-to-Month,Yes,Electronic check,98.55,44.44,1842.8,0.0,120,888.8,2851.6,20,Yes,13,No,No Offer,No,0,3,5444,1
Male,63,No,No,No,No,0,No,8321,Yes,Yes,No,No,No,No,No,Yes,Yes,DSL,Month-to-Month,Yes,Credit card (automatic),54.75,30.53,438.05,0.0,0,244.24,682.29,8,No,26,Yes,No Offer,No,0,5,5317,0
Male,41,No,No,No,No,0,No,19629,Yes,Yes,No,Yes,No,No,No,No,No,Fiber Optic,Month-to-Month,No,Electronic check,74.95,25.24,815.5,0.0,0,277.64,1093.14,11,No,29,Yes,No Offer,No,0,1,4251,1
Male,68,No,Yes,No,No,0,No,781,Yes,Yes,Yes,No,No,Yes,No,No,No,DSL,One Year,No,Mailed check,54.0,22.31,1055.9,0.0,0,446.2,1502.1,20,No,21,Yes,No Offer,No,0,4,5090,0
Male,37,No,No,Yes,Yes,1,Yes,88,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Cable,Two Year,No,Mailed check,81.0,45.95,3846.35,0.0,0,2113.7,5960.05,46,No,10,Yes,No Offer,Yes,1,4,4280,0
Male,77,No,Yes,Yes,No,0,Yes,439,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Fiber Optic,Two Year,Yes,Credit card (automatic),84.8,5.51,6141.65,0.0,0,396.72,6538.37,72,No,2,Yes,No Offer,Yes,7,4,4240,0
Female,72,No,Yes,No,No,0,No,40611,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,No,Credit card (automatic),110.25,23.4,7467.55,0.0,0,1614.6,9082.15,69,Yes,27,Yes,No Offer,No,0,3,4948,0
Male,43,No,No,Yes,Yes,3,Yes,17782,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Credit card (automatic),104.9,6.95,7559.55,0.0,0,500.4,8059.95,72,No,57,Yes,Offer A,Yes,5,4,5169,0
Female,57,No,No,No,No,0,No,48690,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed check,20.05,6.85,39.25,0.0,0,13.7,52.95,2,No,0,No,Offer E,No,0,3,5191,0
Male,50,No,No,No,No,0,No,93315,Yes,Yes,No,No,No,No,Yes,No,No,Cable,Month-to-Month,Yes,Electronic check,59.85,22.05,59.85,0.0,0,22.05,81.9,1,Yes,28,Yes,No Offer,No,0,2,4017,1
Male,42,No,No,No,No,0,No,152,Yes,No,No,No,No,No,No,No,No,No,One Year,No,Mailed check,20.3,10.36,475.1,0.0,0,227.92,703.02,22,No,0,No,Offer D,No,0,5,4510,0
Female,58,No,No,No,No,0,No,15921,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Fiber Optic,One Year,No,Bank transfer (automatic),96.75,1.57,4442.75,0.0,0,70.65,4513.4,45,Yes,30,Yes,No Offer,No,0,4,3682,0
Male,50,No,No,No,Yes,3,No,11147,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed check,20.85,19.58,60.65,0.0,0,58.74,119.39,3,No,0,No,No Offer,No,0,4,5868,0
Male,27,Yes,No,No,No,0,No,44004,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Bank transfer (automatic),20.45,6.61,943.0,0.0,0,310.67,1253.67,47,No,0,No,No Offer,No,0,4,4342,0
Female,63,No,No,No,No,0,No,35109,Yes,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-Month,No,Electronic check,50.15,38.33,50.15,0.0,50,38.33,138.48,1,No,24,No,Offer E,No,0,3,4421,0
Male,27,Yes,No,Yes,No,0,Yes,42239,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Credit card (automatic),104.15,3.86,7365.3,0.0,0,274.06,7639.36,71,Yes,85,Yes,Offer A,Yes,1,4,5973,0
Male,38,No,No,Yes,No,0,Yes,42209,Yes,Yes,No,No,No,No,Yes,No,No,DSL,Month-to-Month,Yes,Bank transfer (automatic),55.05,44.2,608.15,0.0,0,486.2,1094.35,11,No,15,Yes,No Offer,Yes,6,3,2762,0
Male,41,No,No,No,Yes,1,No,32050,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Cable,Month-to-Month,Yes,Mailed check,69.85,27.07,837.5,0.0,0,324.84,1162.34,12,No,29,Yes,Offer D,No,0,3,5796,0
Female,53,No,No,Yes,No,0,Yes,7958,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,Yes,Bank transfer (automatic),84.8,9.28,5917.55,0.0,120,649.6,6687.15,70,Yes,24,No,No Offer,Yes,7,4,4032,0
Female,28,Yes,No,Yes,No,0,Yes,71678,Yes,Yes,Yes,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,74.4,9.79,139.4,0.0,0,19.58,158.98,2,No,41,Yes,No Offer,Yes,1,1,4263,1
Female,23,Yes,No,No,No,0,No,20046,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Fiber Optic,Month-to-Month,No,Bank transfer (automatic),83.2,19.96,2032.3,23.79,0,459.08,2467.59,23,No,76,Yes,No Offer,No,0,3,2061,0
Male,75,No,Yes,Yes,No,0,Yes,417,Yes,Yes,No,No,Yes,No,No,No,No,Fiber Optic,Two Year,Yes,Electronic check,80.8,16.87,457.1,0.0,30,101.22,588.32,6,Yes,17,No,No Offer,Yes,4,5,5611,0
Male,33,No,No,No,No,0,No,867,Yes,Yes,No,No,Yes,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,92.5,3.25,452.7,0.0,0,16.25,468.95,5,Yes,25,Yes,No Offer,No,0,2,2810,1
Female,77,No,Yes,No,No,0,No,31963,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Mailed check,75.45,23.46,158.4,0.0,0,46.92,205.32,2,Yes,25,Yes,No Offer,No,0,3,3350,1
Female,40,No,No,No,No,0,No,21010,Yes,Yes,No,Yes,No,No,No,No,No,DSL,Month-to-Month,Yes,Electronic check,49.55,8.71,2077.95,0.0,0,365.82,2443.77,42,No,23,Yes,No Offer,No,0,5,3637,0
Male,20,Yes,No,No,No,0,No,587,Yes,Yes,Yes,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),87.75,13.8,1242.2,0.0,0,207.0,1449.2,15,Yes,59,Yes,No Offer,No,0,3,5415,0
Female,78,No,Yes,No,No,0,No,299,Yes,Yes,No,No,Yes,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),75.55,42.33,349.65,0.0,0,211.65,561.3,5,No,9,Yes,No Offer,No,0,1,4028,1
Male,32,No,No,No,No,0,No,37090,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Fiber Optic,Two Year,Yes,Credit card (automatic),89.45,15.1,4577.75,18.89,0,785.2,5344.06,52,Yes,17,Yes,Offer B,No,0,3,5386,0
Male,36,No,No,Yes,Yes,3,Yes,1916,Yes,Yes,No,Yes,No,Yes,No,No,No,Fiber Optic,One Year,No,Bank transfer (automatic),84.2,9.5,4299.75,39.68,0,484.5,4744.57,51,Yes,51,Yes,No Offer,Yes,6,5,4952,0
Male,34,No,No,No,No,0,No,4258,Yes,Yes,No,No,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,80.8,41.77,80.8,0.0,0,41.77,122.57,1,No,15,Yes,No Offer,No,0,3,4424,1
Female,30,No,No,No,No,0,No,6503,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),87.55,28.27,4884.85,1.83,0,1611.39,6494.41,57,Yes,41,Yes,No Offer,No,0,3,4882,0
Male,27,Yes,No,No,No,0,No,66,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Bank transfer (automatic),114.3,4.32,7383.7,0.0,0,285.12,7668.82,66,Yes,73,Yes,Offer A,No,0,3,5303,0
Female,25,Yes,No,No,No,0,No,31021,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Bank transfer (automatic),116.45,48.52,8013.55,0.0,90,3493.44,11596.99,72,Yes,51,No,Offer A,No,0,4,5567,0
Male,20,Yes,No,Yes,Yes,2,Yes,23990,No,Yes,Yes,No,Yes,No,Yes,No,No,DSL,One Year,No,Credit card (automatic),44.45,0.0,792.15,0.0,0,0.0,792.15,17,No,52,Yes,No Offer,Yes,1,3,3522,0
Male,31,No,No,Yes,No,0,Yes,49309,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,70.3,26.71,208.85,0.0,0,80.13,288.98,3,No,11,Yes,No Offer,Yes,1,1,3038,1
Female,35,No,No,No,No,0,No,7465,Yes,Yes,Yes,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,No,Electronic check,84.95,32.31,668.4,0.0,0,258.48,926.88,8,No,6,Yes,No Offer,No,0,1,4437,1
Male,73,No,Yes,Yes,No,0,Yes,41707,Yes,Yes,No,No,No,No,Yes,Yes,No,Fiber Optic,Month-to-Month,Yes,Electronic check,94.45,6.25,2653.65,0.0,0,181.25,2834.9,29,Yes,21,Yes,No Offer,Yes,1,1,2233,1
Female,57,No,No,Yes,No,0,Yes,4806,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Cable,One Year,No,Mailed check,65.5,14.49,3801.3,0.0,0,854.91,4656.21,59,Yes,25,Yes,No Offer,Yes,6,3,5631,0
Male,53,No,No,No,No,0,No,148,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,110.1,18.03,1043.3,0.0,0,180.3,1223.6,10,No,6,Yes,No Offer,No,0,1,5803,1
Male,29,Yes,No,No,No,0,No,62355,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Credit card (automatic),99.65,21.64,4220.35,0.0,0,887.24,5107.59,41,No,59,Yes,Offer B,No,0,5,2640,0
Male,59,No,No,Yes,No,0,Yes,29340,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Cable,One Year,Yes,Bank transfer (automatic),76.4,31.66,3966.3,0.0,0,1614.66,5580.96,51,No,3,Yes,No Offer,Yes,1,3,6385,0
Female,60,No,No,No,No,0,No,11147,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,89.25,35.88,487.05,0.0,0,215.28,702.33,6,No,10,Yes,Offer E,No,0,3,4430,0
Female,22,Yes,No,Yes,No,0,Yes,57017,Yes,Yes,Yes,No,Yes,Yes,No,No,No,DSL,Two Year,No,Credit card (automatic),58.9,34.31,3857.1,0.0,0,2230.15,6087.25,65,No,71,Yes,No Offer,Yes,5,4,5657,0
Female,66,No,Yes,Yes,No,0,Yes,34902,Yes,Yes,No,Yes,Yes,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,85.45,42.82,4874.7,0.0,90,2355.1,7319.8,55,Yes,27,No,Offer B,Yes,2,1,5502,1
Female,65,No,Yes,No,No,0,No,45025,Yes,Yes,No,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,No,Electronic check,78.45,18.37,78.45,0.0,0,18.37,96.82,1,No,13,Yes,Offer E,No,0,1,2139,1
Male,39,No,No,Yes,Yes,1,Yes,24924,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Electronic check,19.2,25.33,239.0,45.46,0,303.96,497.5,12,No,0,No,No Offer,Yes,2,3,3101,0
Male,49,No,No,No,No,0,No,210,Yes,No,No,No,No,No,No,No,No,No,One Year,No,Mailed check,19.7,23.04,117.8,0.0,0,92.16,209.96,4,No,0,No,No Offer,No,0,3,5018,0
Male,28,Yes,No,No,No,0,No,21866,Yes,Yes,No,No,No,Yes,No,No,No,Cable,One Year,No,Bank transfer (automatic),54.6,7.52,1242.25,28.42,0,180.48,1394.31,24,Yes,85,Yes,No Offer,No,0,3,3398,0
Female,80,No,Yes,No,No,0,No,506,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Fiber Optic,Month-to-Month,Yes,Electronic check,104.85,29.96,1531.4,0.0,0,419.44,1950.84,14,Yes,7,Yes,No Offer,No,0,1,2292,1
Female,43,No,No,No,No,0,No,21759,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,101.25,16.82,1457.25,0.0,0,252.3,1709.55,15,No,26,Yes,No Offer,No,0,3,3968,1
Female,42,No,No,Yes,Yes,3,Yes,4546,Yes,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-Month,No,Bank transfer (automatic),51.0,44.84,581.7,0.0,60,493.24,1134.94,11,No,57,No,No Offer,Yes,8,3,5777,0
Male,41,No,No,Yes,No,0,Yes,28991,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,Yes,Mailed check,84.7,48.37,5878.9,0.0,0,3337.53,9216.43,69,No,7,Yes,No Offer,Yes,10,3,5345,0
Male,55,No,No,Yes,Yes,1,Yes,19368,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Electronic check,99.35,8.46,6856.45,0.0,0,583.74,7440.19,69,Yes,21,Yes,Offer A,No,0,4,4637,0
Female,26,Yes,No,Yes,Yes,2,Yes,1586,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed check,20.45,2.86,781.25,0.0,0,108.68,889.93,38,No,0,No,No Offer,Yes,6,4,5587,0
Male,26,Yes,No,Yes,No,0,Yes,27047,Yes,Yes,No,No,Yes,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),75.3,3.35,2263.4,0.0,0,97.15,2360.55,29,No,59,Yes,No Offer,Yes,10,4,4910,0
Male,78,No,Yes,Yes,No,0,Yes,3756,No,Yes,No,No,Yes,No,No,No,No,DSL,Two Year,Yes,Electronic check,29.9,0.0,118.25,0.0,0,0.0,118.25,4,No,5,Yes,Offer E,Yes,3,4,2914,0
Female,44,No,No,No,No,0,No,4354,Yes,Yes,Yes,No,No,Yes,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,84.35,25.81,1938.05,0.0,0,619.44,2557.49,24,Yes,3,Yes,No Offer,No,0,3,2198,0
Female,69,No,Yes,Yes,No,0,Yes,36301,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Bank transfer (automatic),106.85,7.85,7677.4,0.0,100,565.2,8342.6,72,Yes,20,No,Offer A,Yes,8,4,4768,0
Female,55,No,No,Yes,No,0,Yes,528,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Mailed check,23.85,21.19,1672.1,0.0,0,1504.49,3176.59,71,Yes,0,No,No Offer,Yes,4,5,6166,0
Male,46,No,No,Yes,No,0,Yes,8521,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber Optic,Two Year,No,Credit card (automatic),99.7,26.81,6330.4,0.0,0,1689.03,8019.43,63,No,6,Yes,Offer B,Yes,3,3,5135,0
Male,75,No,Yes,No,No,0,No,812,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Fiber Optic,Two Year,No,Bank transfer (automatic),93.9,1.92,1743.9,0.0,0,34.56,1778.46,18,Yes,25,Yes,Offer D,No,0,4,3728,0
Female,41,No,No,No,No,0,No,821,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,DSL,One Year,Yes,Mailed check,80.75,33.83,3208.65,0.0,0,1353.2,4561.85,40,Yes,19,Yes,No Offer,No,0,4,2047,0
Male,65,No,Yes,Yes,No,0,Yes,35419,Yes,Yes,No,No,Yes,Yes,No,No,No,DSL,One Year,No,Credit card (automatic),54.1,47.16,1992.85,1.09,0,1697.76,3689.52,36,No,28,Yes,Offer C,Yes,9,3,4017,0
Male,42,No,No,Yes,No,0,Yes,531,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Cable,Two Year,Yes,Bank transfer (automatic),54.1,0.0,3794.5,0.0,0,0.0,3794.5,68,No,16,Yes,Offer A,Yes,7,3,4601,0
Male,34,No,No,No,No,0,No,2958,Yes,Yes,No,No,No,No,No,No,No,Cable,Month-to-Month,Yes,Mailed check,45.8,13.62,45.8,0.0,0,13.62,59.42,1,No,21,Yes,No Offer,No,0,5,2614,0
Male,48,No,No,Yes,Yes,3,Yes,33177,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Cable,Two Year,No,Bank transfer (automatic),80.65,40.36,5542.55,0.0,0,2784.84,8327.39,69,No,53,Yes,No Offer,Yes,5,3,4618,0
Male,24,Yes,No,No,No,0,No,1447,Yes,No,No,No,No,No,No,No,No,No,One Year,No,Mailed check,20.6,12.17,116.6,0.0,0,73.02,189.62,6,No,0,No,Offer E,No,0,3,4439,0
Female,19,Yes,No,Yes,Yes,3,Yes,13158,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),105.35,4.19,1559.25,0.0,0,62.85,1622.1,15,Yes,59,Yes,Offer D,Yes,6,3,2721,0
Female,59,No,No,Yes,No,0,Yes,5446,Yes,Yes,Yes,No,No,Yes,No,No,No,DSL,Month-to-Month,Yes,Bank transfer (automatic),60.85,12.3,2003.6,0.0,0,418.2,2421.8,34,Yes,26,Yes,No Offer,Yes,5,4,3012,0
Female,48,No,No,No,No,0,No,72993,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,DSL,Two Year,No,Credit card (automatic),77.35,18.2,5550.1,0.0,0,1292.2,6842.3,71,No,28,Yes,Offer A,No,0,3,4846,0
Male,53,No,No,No,No,0,No,24505,Yes,Yes,Yes,No,No,Yes,No,No,No,Cable,Month-to-Month,No,Mailed check,53.45,15.09,1461.45,0.0,0,407.43,1868.88,27,No,28,Yes,No Offer,No,0,3,2191,0
Male,35,No,No,Yes,Yes,2,Yes,2958,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Fiber Optic,Two Year,No,Credit card (automatic),94.55,19.53,6078.75,0.0,0,1269.45,7348.2,65,Yes,19,Yes,Offer B,Yes,6,4,4603,0
Male,77,No,Yes,Yes,Yes,1,Yes,87,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,DSL,One Year,Yes,Electronic check,76.05,14.19,2747.2,0.0,0,496.65,3243.85,35,No,17,Yes,Offer C,Yes,6,5,5479,0
Female,69,No,Yes,No,No,0,No,14010,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Fiber Optic,Two Year,Yes,Electronic check,96.85,46.67,5219.65,0.0,0,2613.52,7833.17,56,Yes,18,Yes,No Offer,No,0,3,5679,0
Male,31,No,No,Yes,Yes,2,Yes,13106,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,No,Electronic check,19.75,30.38,19.75,0.0,0,30.38,50.13,1,No,0,No,No Offer,Yes,8,4,3068,0
Female,80,No,Yes,No,No,0,No,42491,Yes,Yes,No,No,No,No,Yes,Yes,No,Fiber Optic,Two Year,No,Electronic check,90.95,31.57,2897.95,25.55,0,1010.24,3882.64,32,No,4,Yes,Offer C,No,0,4,5936,0
Female,29,Yes,No,No,No,0,No,58830,No,Yes,Yes,No,Yes,No,No,Yes,Yes,DSL,One Year,Yes,Electronic check,44.45,0.0,2773.9,0.0,0,0.0,2773.9,60,No,73,Yes,Offer B,No,0,4,4928,0
Male,63,No,No,No,No,0,No,52,Yes,Yes,No,No,Yes,Yes,No,No,No,DSL,Month-to-Month,No,Credit card (automatic),55.2,47.72,1058.1,0.0,0,858.96,1917.06,18,No,28,Yes,Offer D,No,0,4,2110,0
Male,41,No,No,Yes,Yes,2,Yes,1140,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Bank transfer (automatic),105.25,31.4,7173.15,0.0,0,2135.2,9308.35,68,No,19,Yes,No Offer,Yes,3,3,5795,0
Female,69,No,Yes,No,No,0,No,16429,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Fiber Optic,Month-to-Month,Yes,Electronic check,100.8,7.22,1308.1,0.0,0,93.86,1401.96,13,Yes,28,Yes,Offer D,No,0,1,3269,1
Female,59,No,No,Yes,No,0,Yes,47969,No,Yes,Yes,No,No,Yes,Yes,No,No,DSL,Two Year,Yes,Credit card (automatic),46.35,0.0,1662.05,0.0,140,0.0,1802.05,35,No,24,No,Offer C,Yes,7,4,4577,0
Female,26,Yes,No,Yes,No,0,Yes,24659,Yes,Yes,No,Yes,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,76.1,39.67,2093.4,30.14,0,1071.09,3134.35,27,No,59,Yes,Offer C,No,0,3,3291,0
Male,37,No,No,No,No,0,No,35109,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed check,20.8,48.14,20.8,0.0,0,48.14,68.94,1,No,0,No,Offer E,No,0,4,3678,0
Female,76,No,Yes,Yes,Yes,1,Yes,5671,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Fiber Optic,Two Year,Yes,Electronic check,110.2,20.42,4972.1,0.0,0,939.32,5911.42,46,Yes,16,Yes,Offer B,Yes,7,3,4162,0
Female,44,No,No,No,No,0,No,55504,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Credit card (automatic),106.95,29.8,5785.5,0.0,0,1579.4,7364.9,53,Yes,4,Yes,No Offer,No,0,1,5550,1
Female,51,No,No,Yes,Yes,2,Yes,29110,Yes,Yes,Yes,Yes,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,85.1,20.1,4600.95,14.3,0,1105.5,5692.15,55,Yes,19,Yes,No Offer,Yes,5,3,4026,0
Male,37,No,No,No,No,0,No,58198,Yes,Yes,Yes,Yes,No,No,No,No,No,DSL,Month-to-Month,Yes,Mailed check,53.85,10.47,108.15,0.0,0,20.94,129.09,2,No,21,Yes,No Offer,No,0,1,3239,1
Male,77,No,Yes,Yes,No,0,Yes,565,Yes,Yes,Yes,No,Yes,No,No,No,No,Fiber Optic,One Year,No,Credit card (automatic),80.3,14.87,5017.7,0.0,0,951.68,5969.38,64,No,16,Yes,No Offer,Yes,5,3,4270,0
Male,49,No,No,No,No,0,No,30635,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Fiber Optic,One Year,Yes,Credit card (automatic),87.7,43.11,1725.95,0.0,0,819.09,2545.04,19,No,2,Yes,Offer D,No,0,3,4446,0
Female,25,Yes,No,No,No,0,No,592,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Credit card (automatic),113.15,28.4,7993.3,0.0,0,2016.4,10009.7,71,Yes,76,Yes,Offer A,No,0,3,4955,0
Female,23,Yes,No,No,No,0,No,10520,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),114.5,21.56,4527.45,0.0,0,883.96,5411.41,41,Yes,59,Yes,Offer B,No,0,1,3038,1
Female,71,No,Yes,No,No,0,No,46086,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Mailed check,69.05,30.05,318.5,0.0,0,150.25,468.75,5,No,11,Yes,No Offer,No,0,3,3368,1
Female,49,No,No,No,No,0,No,1273,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,DSL,One Year,Yes,Credit card (automatic),70.15,38.88,4224.7,0.0,0,2332.8,6557.5,60,No,2,Yes,No Offer,No,0,3,4260,0
Male,52,No,No,Yes,Yes,1,Yes,3641,No,Yes,Yes,Yes,Yes,No,No,No,No,DSL,Month-to-Month,No,Bank transfer (automatic),40.2,0.0,1448.8,0.0,0,0.0,1448.8,37,No,23,Yes,No Offer,Yes,1,2,3627,1
Female,47,No,No,No,No,0,No,21065,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Fiber Optic,One Year,Yes,Electronic check,89.85,38.33,5844.65,0.0,0,2491.45,8336.1,65,Yes,7,Yes,No Offer,No,0,3,6421,0
Male,60,No,No,No,No,0,No,1745,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,94.1,30.42,2322.85,0.0,110,730.08,3162.93,24,Yes,14,No,Offer C,No,0,3,3192,0
Male,65,No,Yes,Yes,No,0,Yes,25566,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),89.75,22.38,1938.9,0.0,0,492.36,2431.26,22,No,14,Yes,No Offer,Yes,8,3,4180,0
Male,62,No,No,No,No,0,No,28201,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,69.1,38.66,69.1,0.0,0,38.66,107.76,1,No,18,Yes,Offer E,No,0,1,5795,1
Female,45,No,No,Yes,No,0,Yes,5451,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,Yes,Electronic check,91.7,15.65,6424.7,0.0,0,1064.2,7488.9,68,Yes,5,Yes,Offer A,Yes,10,3,4113,0
Male,20,Yes,No,No,No,0,No,23742,Yes,No,No,No,No,No,No,No,No,No,One Year,No,Electronic check,25.05,27.64,949.85,0.0,0,1160.88,2110.73,42,Yes,0,No,No Offer,No,0,5,3756,0
Male,73,No,Yes,Yes,No,0,Yes,75929,No,Yes,No,Yes,No,No,No,No,No,Cable,Month-to-Month,Yes,Electronic check,30.35,0.0,1359.7,0.0,0,0.0,1359.7,44,No,28,Yes,No Offer,Yes,2,1,4829,1
Female,27,Yes,No,No,No,0,No,385,Yes,Yes,No,No,No,No,No,No,No,Cable,Month-to-Month,Yes,Credit card (automatic),44.55,23.04,44.55,0.0,0,23.04,67.59,1,No,82,Yes,Offer E,No,0,5,5825,0
Male,39,No,No,Yes,Yes,1,Yes,44004,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Mailed check,23.55,11.86,1173.35,0.0,0,569.28,1742.63,48,Yes,0,No,Offer B,No,0,3,5019,0
Male,60,No,No,No,No,0,No,11180,Yes,Yes,No,Yes,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,81.15,42.05,2640.55,0.0,0,1303.55,3944.1,31,Yes,12,Yes,No Offer,No,0,3,3031,0
Female,25,Yes,No,Yes,No,0,Yes,38955,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,DSL,Two Year,No,Bank transfer (automatic),71.0,1.29,4386.2,0.0,0,83.85,4470.05,65,No,51,Yes,Offer B,Yes,1,4,6308,0
Male,62,No,No,No,No,0,No,8141,Yes,No,No,No,No,No,No,No,No,No,Two Year,Yes,Mailed check,19.7,27.11,419.4,0.0,0,542.2,961.6,20,No,0,No,No Offer,No,0,5,2120,0
Male,72,No,Yes,Yes,No,0,Yes,47224,Yes,Yes,No,No,No,No,Yes,Yes,No,Fiber Optic,Month-to-Month,Yes,Electronic check,94.5,27.78,3105.55,0.0,0,916.74,4022.29,33,Yes,8,Yes,No Offer,Yes,1,3,4333,1
